Ref,Val,Package,PosX,PosY,Rot,Side
"C1","18pF","C_0805_2012Metric",277.656940,-192.542650,90.000000,bottom
"C2","18pF","C_0805_2012Metric",281.456940,-188.092650,0.000000,bottom
"C3","0.1uF","C_0805_2012Metric",283.656940,-173.542650,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",277.956940,-182.592650,180.000000,bottom
"C5","1uF","C_0805_2012Metric",269.856940,-192.342650,180.000000,bottom
"C6","0.1uF","C_0805_2012Metric",269.856940,-186.592650,180.000000,bottom
"C7","10uF","C_0805_2012Metric",269.856940,-189.342650,180.000000,bottom
"C8","10nF","C_0805_2012Metric",277.856940,-184.842650,180.000000,bottom
"C9","1uF","C_0805_2012Metric",276.356940,-187.092650,180.000000,bottom
"C10","0.1uF","C_0805_2012Metric",292.356940,-176.092650,0.000000,bottom
"C11","0.1uF","C_0805_2012Metric",287.856940,-190.592650,180.000000,bottom
"C12","0.1uF","C_0805_2012Metric",288.606940,-193.342650,180.000000,bottom
"C13","10uF","C_0805_2012Metric",315.156940,-168.542650,-90.000000,bottom
"C14","10uF","C_0805_2012Metric",299.156940,-169.142650,-90.000000,bottom
"C15","0.1uF","C_0805_2012Metric",301.906940,-169.142650,90.000000,bottom
"J1","Conn_01x07_Pin","HDR-SMD_7P-P2.54-H-F-L11.5",470.406940,-180.592650,-90.000000,bottom
"J2","Conn_01x07_Pin","HDR-SMD_7P-P2.54-H-F-L11.5",284.906940,-145.092650,0.000000,bottom
"J3","Conn_01x07_Pin","HDR-SMD_7P-P2.54-H-F-L11.5-RIGHT",99.406940,-180.592650,90.000000,bottom
"J4","Conn_01x07_Pin","HDR-SMD_7P-P2.54-H-F-L11.5-RIGHT",284.906940,-216.092650,180.000000,bottom
"J5","Conn_01x09_Socket","PinSocket_1x09_P2.54mm_Vertical_SMD_Pin1Left",184.906940,-201.937650,90.000000,bottom
"J6","Conn_01x09_Socket","PinSocket_1x09_P2.54mm_Vertical_SMD_Pin1Left",184.906940,-217.187650,90.000000,bottom
"L1","2nH","L_0805_2012Metric",272.906940,-183.405150,90.000000,bottom
"R1","10k","R_0805_2012Metric",276.656940,-162.005150,-90.000000,bottom
"R2","10k","R_0805_2012Metric",287.156940,-162.005150,-90.000000,bottom
"R3","0","R_0805_2012Metric",364.994440,-139.092650,180.000000,bottom
"R4","DNS","R_0805_2012Metric",364.994440,-143.092650,180.000000,bottom
"R5","0","R_0805_2012Metric",393.069440,-139.092650,180.000000,bottom
"R6","DNS","R_0805_2012Metric",393.069440,-143.092650,180.000000,bottom
"R7","0","R_0805_2012Metric",378.994440,-139.092650,180.000000,bottom
"R8","DNS","R_0805_2012Metric",378.994440,-143.092650,180.000000,bottom
"R9","0","R_0805_2012Metric",274.406940,-192.505150,-90.000000,bottom
"R22","499","R_0805_2012Metric",293.656940,-206.005150,-90.000000,bottom
"R23","499","R_0805_2012Metric",285.156940,-206.005150,-90.000000,bottom
"R24","DNS","R_0805_2012Metric",289.906940,-206.005150,-90.000000,bottom
"R25","DNS","R_0805_2012Metric",280.906940,-206.005150,-90.000000,bottom
"SW1","SW_MEC_5E","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",279.656940,-157.217650,180.000000,bottom
"SW2","SW_MEC_5E","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",290.156940,-157.092650,180.000000,bottom
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",284.906940,-180.592650,0.000000,bottom
"U2","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",308.156940,-168.342650,90.000000,bottom
"Y1","40MHz","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",281.556940,-192.492650,-90.000000,bottom
