Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,18pF,C1797
"C10, C11, C12, C15, C3, C4, C6",0805,7,0.1uF,C49678
"C13, C14, C7",0805,3,10uF,C15850
"C5, C9",0805,2,1uF,C28323
C8,0805,1,10nF,C1710
"J1, J2",HDR-SMD_7P-P2.54-H-F-L11.5,2,Conn_01x07_Pin,C5142240
"J3, J4",HDR-SMD_7P-P2.54-H-F-L11.5-RIGHT,2,Conn_01x07_Pin,C5142240
J9,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,1,USB,C2984276
L1,0805,1,1.8nH,C1036
"R1, R2",0805,2,10k,C17414
"R10, R3, R5, R7, R9",0805,5,0,C17477
"R22, R23",0805,2,240,C17572
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,SW_MEC_5E,C318884
U1,QFN56_S3FH4R2_EXP,1,ESP32-S3FH4R2,C3013940
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C6186
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,40MHz,C19191260
