Designator,Mid X,Mid Y,Rotation,Layer
C1,277.65694,-192.54265,90.0,bottom
C10,292.35694,-176.09265,180.0,bottom
C11,287.85694,-190.59265,0.0,bottom
C12,288.60694,-193.34265,0.0,bottom
C13,315.15694,-168.54265,270.0,bottom
C14,299.15694,-169.14265,270.0,bottom
C15,301.90694,-169.14265,90.0,bottom
C2,281.45694,-188.09265,180.0,bottom
C3,283.65694,-173.54265,90.0,bottom
C4,277.95694,-182.59265,0.0,bottom
C5,269.85694,-192.34265,0.0,bottom
C6,269.85694,-186.59265,0.0,bottom
C7,269.85694,-189.34265,0.0,bottom
C8,277.85694,-184.84265,0.0,bottom
C9,276.35694,-187.09265,0.0,bottom
J1,470.40694,-180.59265,270.0,bottom
J2,284.90694,-145.09265,180.0,bottom
J3,99.40694,-180.59265,90.0,bottom
J4,284.90694,-216.09265,0.0,bottom
J9,284.90694,-168.34265,00.0,bottom
L1,272.90694,-183.40515,90.0,bottom
R1,276.65694,-162.00515,270.0,bottom
R10,167.90694,-216.75515,270.0,bottom
R2,287.15694,-162.00515,270.0,bottom
R22,293.65694,-206.00515,270.0,bottom
R23,285.15694,-206.00515,270.0,bottom
R3,364.99444,-139.09265,0.0,bottom
R5,393.06944,-139.09265,0.0,bottom
R7,378.99444,-139.09265,0.0,bottom
R9,274.40694,-192.50515,270.0,bottom
SW1,279.65694,-157.21765,0.0,bottom
SW2,290.15694,-157.09265,0.0,bottom
U1,284.90694,-180.59265,90.0,bottom
U2,308.15694,-168.34265,270.0,bottom
Y1,281.55694,-192.49265,270.0,bottom
